twitter.id,twitter.text,twitter.author_id,twitter.keyword,twitter.retweet_count,twitter.reply_count,twitter.like_count,twitter.quote_count
1572034596681687042,"@portalblackpink reggea
I'm voting for #SHUTDOWN by #BLACKPINK       as My Trending Song Choice!",Reggea,1004490384540602369,0,0,0,0
1572096561299046400,RT @WinkyDFan: CONGRATULATIONS TO Winky D DiBigman and Nutty O for being nominated for Afrima 2022  Regional &amp; Continental categories. The…,Reggea,1325039240615518208,4,0,0,0
1572162764487143428,Now playing Track 5 REGGEA ROCK PARTY by IVAN CHRISTIE!,Reggea,185656772,0,0,0,0
1572164654796886017,NowPlaying Rampage Reggea Buz - Rampage Reggea Buz S.O.A.z Radio stream https://t.co/vOV2u6YmMc 10:03,Reggea,40050247,0,0,0,0
1572179921434251265,@AzukaEbeh @DavidOlujinmi @Cecorule Lol! Your anger must see road oo!. I personally abhor STEALING with my every fiber but don't dare paint PO as the angel &amp; cast aspersions on the rest as 😈 devils. 3 clear cases of corrupt practices raised against PO &amp; you are dancing REGGEA PALONGO. Park well. I beg,Reggea,977272836,0,1,0,0
1572185336620503046,@MeruFmOfficial Outta makwara jungle.. twende nalo #top_reggea_show,Reggea,1552267990690848768,0,0,0,0
1572211893686632450,https://t.co/BWJs9jfkEX - REGGEA KEEP IT LOCKED KDJL THE CULTURE,Reggea,31277160,0,0,0,0
1572218829995970562,"@jennykanyiri @johnkaranijk @kbcenglish Hapana dear 😅😅😅
si ni @johnkaranijk anikoroga 
akili na reggea😜😜😜
#BeatimeKBC",Reggea,1050400237053988864,4,1,4,0
1572218887504293898,"RT @Mwanyigha_01: @jennykanyiri @johnkaranijk @kbcenglish Hapana dear 😅😅😅
si ni @johnkaranijk anikoroga 
akili na reggea😜😜😜
#BeatimeKBC",Reggea,1050400237053988864,4,0,0,0
1572219734971613185,"RT @Mwanyigha_01: @jennykanyiri @johnkaranijk @kbcenglish Hapana dear 😅😅😅
si ni @johnkaranijk anikoroga 
akili na reggea😜😜😜
#BeatimeKBC",Reggea,3302729711,4,0,0,0
1572219877385211906,"RT @Mwanyigha_01: @jennykanyiri @johnkaranijk @kbcenglish Hapana dear 😅😅😅
si ni @johnkaranijk anikoroga 
akili na reggea😜😜😜
#BeatimeKBC",Reggea,1408650024528101376,4,0,0,0
1572259103304519687,Reggea music sucks,Reggea,1570304326953746432,0,0,1,0
1572309144438276101,#mtaanihbr @Demakufu  @HomeboyzRadio  mtaani adi best reggea Tuesday,Reggea,1056949112636145665,0,0,1,0
1572311123311087616,"He looks different tho 🤣

#dreadlocks #reggea #lockscreen @ Accra, Ghana https://t.co/6f1yyOwRi0",Reggea,1460392754886975494,0,0,0,0
1572338478154747904,ta tocando um reggea mt alto dentro da igreja,Reggea,1303527134682640386,0,0,0,0
1572356370242097152,RT @FF2006: 10/1はYARD MAN CAMP FESTIVALです！三田アスレチックで野外ダンス！キャンプして夕方からダンスホールで皆んなで騒いでダンスの最後はキャンプファイヤーでチルアウト！テント予約も受付中です！予約はこちらのアカウントから@YardCamp…,Reggea,110461072,11,0,0,0
1572409602901422082,Now playing NO ONE REGGEA REMIX-CLEAN by !,Reggea,1441113069791309825,0,0,0,0
1572418272515035139,Now playing Track 5 REGGEA ROCK PARTY by IVAN CHRISTIE!,Reggea,185656772,0,0,0,0
1572502660330450944,@Browngalnessa @VybezRadioKE @deejaypatiz #vybezradio love n reggea ikujweeeee,Reggea,1060931598542102529,0,1,0,0
1572517284845080579,@BrinkhostDotCom @sjaak_jacq @JoostNiemoller @ongehoordnedtv Lijkt me logischer dan dat het opgericht is door een Jamaicaanse reggea bassist🤦🏻‍♂️....,Reggea,1569917577480249345,0,0,0,0
1572551196925366273,"RT @Mwanyigha_01: @jennykanyiri @johnkaranijk @kbcenglish Hapana dear 😅😅😅
si ni @johnkaranijk anikoroga 
akili na reggea😜😜😜
#BeatimeKBC",Reggea,43322926,4,0,0,0
1572571428477870083,@SirGlavan_ kwn wako anachezeshea reggea wap,Reggea,1490770218934751237,0,0,0,0
1572572514152509446,"Back to Reggea ❤️💛💚 
Friends edition ...Let's be there
@dukeplayug @consult_music https://t.co/i4Gp0lIQ4q",Reggea,1064631855637544961,2,1,10,0
1572590807181365248,"RT @raster_paster: Back to Reggea ❤️💛💚 
Friends edition ...Let's be there
@dukeplayug @consult_music https://t.co/i4Gp0lIQ4q",Reggea,2804939453,2,0,0,0
1572591955024003074,"RT @raster_paster: Back to Reggea ❤️💛💚 
Friends edition ...Let's be there
@dukeplayug @consult_music https://t.co/i4Gp0lIQ4q",Reggea,1393847973738598401,2,0,0,0
1572595622741516288,Hiyo nayo mnataka kusema hamtaenda?? Mbogi Naree @ Jambo Grill karibu na Sky park... All your favorite Aluta &amp; Reggea deejays!! Featuring @ZeNdiamboCure .. https://t.co/ofarQ2jdr5,Reggea,3252407757,0,1,1,0
1572601213107019776,@ichkidd_ Reggea,Reggea,1422534473065943043,0,0,0,0
1572604301285163009,"@loveisrealjudy Laat t reggea zijn, voeg ik je gelijk toe 😉😉",Reggea,1027477755724738560,0,0,0,0
1572606057649942528,@ichkidd_ Reggea🔥,Reggea,1563497404560973826,0,0,0,0
1572626385537204224,@ichkidd_ Reggea,Reggea,1563228632851820545,0,0,0,0
1572641804734038018,Skankin reggea trojan recods asik kali ye sambil giting berat,Reggea,1001473818844581891,0,0,0,0
1572673027439198208,Now playing Track 5 REGGEA ROCK PARTY by IVAN CHRISTIE!,Reggea,185656772,0,0,0,0
1572674909532475393,"Jaba ,plus wifi,plus reggea,,plus twitter,,, sweetest combo
what did i leave outside?",Reggea,1291811018725830661,0,0,1,0
1572733844180049922,https://t.co/BWJs9jfkEX - REGGEA KEEP IT LOCKED KDJL THE CULTURE,Reggea,31277160,0,0,0,0
1572758442565312512,"夏の終わりにSTEP UP RIDDIM でどうぞ。
https://t.co/IrsmUwKsno

#reggea #ジャパレゲ #stepup #riddim #japanesereggea",Reggea,1198997866972237825,0,0,3,0
1572796964672270339,"#DíadelLuchadorGuadalajara: En la lucha semifinal con elenco de la Arena Jalisco, Riesgo, Kaiju y El Enviado vencen a Sniper, Mr Reggea y a Reycko. https://t.co/qaR0LcN32Z",Reggea,122281759,1,0,7,0
1572819948828860417,"Good morning folks
Kuna music genre inashinda reggea kweli? 💛💚🖤⁦🇯🇲⁩",Reggea,1539287053933879297,3,0,8,0
1572820493282983936,"RT @Painkiller25600: Good morning folks
Kuna music genre inashinda reggea kweli? 💛💚🖤⁦🇯🇲⁩",Reggea,1535340089060077569,3,0,0,0
1572820751484338176,"RT @Painkiller25600: Good morning folks
Kuna music genre inashinda reggea kweli? 💛💚🖤⁦🇯🇲⁩",Reggea,1470927798806142982,3,0,0,0
1572825832988774402,"@ShadayaKnight Munhu ngaaite zvaanoda nechinhu chake, some have  to date 3, 4, or 5 maybe 10 guys until that 1 comes some are blessed they date 1 guy and  they get married,  its not everyone who is blessed with such, so while im  waiting to be  found by my husband nobody can stop reggea",Reggea,1303072672969101318,4,66,98,0
1572827564577804291,"@marcus_chehanga @ShadayaKnight Not even,he can preach until jesus comes stil nobody can stop reggea my guy.",Reggea,1303072672969101318,0,1,3,0
1572830924521484289,"RT @African_ch1ck: @ShadayaKnight Munhu ngaaite zvaanoda nechinhu chake, some have  to date 3, 4, or 5 maybe 10 guys until that 1 comes som…",Reggea,1562927934255480832,4,0,0,0
1572835829655154688,"RT @mas_lucha: #DíadelLuchadorGuadalajara: En la lucha semifinal con elenco de la Arena Jalisco, Riesgo, Kaiju y El Enviado vencen a Sniper…",Reggea,1538396102285619200,1,0,0,0
1572836771515305985,"RT @Painkiller25600: Good morning folks
Kuna music genre inashinda reggea kweli? 💛💚🖤⁦🇯🇲⁩",Reggea,1539287053933879297,3,0,0,0
1572844598623633408,RT @MrRightke: Who is Best Reggea MC in Kenya? Nataka kusaka mixes zake nishikishe 😎 #StandTallStrideOn,Reggea,1291274706054713344,55,0,0,0
1572864630338248709,Today is Jamrock Thursday  🇯🇲  🇺🇬 reggea music to the World https://t.co/dM8Tqa9r44,Reggea,1572637504972496901,0,0,2,0
1572873029864271873,"@Kafferepet Linton Kwesi Johnson hade ganska skön reggea.

""Inglan is a bitch"".",Reggea,1547246797218775041,0,1,0,0
1572873255098224641,Ukiacha nyumba yako open utoke alafu uache mix ya reggea ama ya  wakadinali ikiimba trust me hakuna mtu atakuibia kitu,Reggea,1014697526648242176,9,2,14,0
1572875962920108032,@_MissVivie We the Reggea Boys 💚❤💛,Reggea,1522166371119157248,0,2,2,0
1572876846135476225,RT @nijokestu: Ukiacha nyumba yako open utoke alafu uache mix ya reggea ama ya  wakadinali ikiimba trust me hakuna mtu atakuibia kitu,Reggea,1461625810406760450,9,0,0,0
1572876928381759491,RT @nijokestu: Ukiacha nyumba yako open utoke alafu uache mix ya reggea ama ya  wakadinali ikiimba trust me hakuna mtu atakuibia kitu,Reggea,1518213787219906560,9,0,0,0
1572877417156313089,RT @nijokestu: Ukiacha nyumba yako open utoke alafu uache mix ya reggea ama ya  wakadinali ikiimba trust me hakuna mtu atakuibia kitu,Reggea,1252634813879717900,9,0,0,0
1572878467338801153,RT @nijokestu: Ukiacha nyumba yako open utoke alafu uache mix ya reggea ama ya  wakadinali ikiimba trust me hakuna mtu atakuibia kitu,Reggea,1413421860017119232,9,0,0,0
1572883634683772928,RT @nijokestu: Ukiacha nyumba yako open utoke alafu uache mix ya reggea ama ya  wakadinali ikiimba trust me hakuna mtu atakuibia kitu,Reggea,1538773152649646080,9,0,0,0
1572884177359601669,RT @nijokestu: Ukiacha nyumba yako open utoke alafu uache mix ya reggea ama ya  wakadinali ikiimba trust me hakuna mtu atakuibia kitu,Reggea,1562161790779367429,9,0,0,0
1572889097223413761,RT @nijokestu: Ukiacha nyumba yako open utoke alafu uache mix ya reggea ama ya  wakadinali ikiimba trust me hakuna mtu atakuibia kitu,Reggea,1561221339251412992,9,0,0,0
1572896201208373248,NowPlaying Rampage Reggea Buz - Rampage Reggea Buz S.O.A.z Radio stream https://t.co/vOV2u6YmMc 10:30,Reggea,40050247,0,0,0,0
1572904441375821824,KERICHO KERICHO TONIGHT @wessydelounge ALONGSIDE MY G @deejay_juan KUJENI WE HAVE SOME GOOD VIBES REGGEA AND DANCEHALL @ Kericho County https://t.co/WNdwlPHxdd,Reggea,1174400293171339264,0,0,1,0
1572907958668861441,"RT @African_ch1ck: @ShadayaKnight Munhu ngaaite zvaanoda nechinhu chake, some have  to date 3, 4, or 5 maybe 10 guys until that 1 comes som…",Reggea,1221425747887378432,4,0,0,0
1572925209203671041,Now playing Track 5 REGGEA ROCK PARTY by IVAN CHRISTIE!,Reggea,185656772,0,0,0,0
1572928525518385153,RT @nijokestu: Ukiacha nyumba yako open utoke alafu uache mix ya reggea ama ya  wakadinali ikiimba trust me hakuna mtu atakuibia kitu,Reggea,1525553199175843841,9,0,0,0
